,ids,SMILES
16546,Z2380897050,NC(=O)N1C[C@@H]2Oc3c(F)ccc(F)c3O[C@@H]2C1
16547,Z2380897050,NC(=O)N1C[C@H]2Oc3c(F)ccc(F)c3O[C@@H]2C1
16548,Z2380897050,NC(=O)N1C[C@@H]2Oc3c(F)ccc(F)c3O[C@H]2C1
16549,Z2380897050,NC(=O)N1C[C@@H]2Oc3c(F)ccc(F)c3O[C@@H]2C1
16550,Z2442379715,CO[C@H](CS(=O)(=O)Nc1ccc(Cl)cc1C(=O)[O-])C1CC1
16551,Z2442379715,CO[C@@H](CS(=O)(=O)Nc1ccc(Cl)cc1C(=O)[O-])C1CC1
16552,Z2444601459,O=C([O-])c1cnc(N2CCN(C(=O)CO)CC2)c(Cl)c1
16553,Z2489738430,CCn1ccc(CC(=O)N[C@@H]2C[C@H](C(=O)[O-])c3ccccc32)n1
16554,Z2489738430,CCn1ccc(CC(=O)N[C@H]2C[C@H](C(=O)[O-])c3ccccc32)n1
16555,Z2489738430,CCn1ccc(CC(=O)N[C@@H]2C[C@@H](C(=O)[O-])c3ccccc32)n1
16556,Z2489738430,CCn1ccc(CC(=O)N[C@H]2C[C@@H](C(=O)[O-])c3ccccc32)n1
16557,Z2497690306,CC(C)OC1CCC(NC(=O)c2ncc3cc(Cl)ccn23)CC1
16558,Z2527319611,OC1(Cc2cn(-c3ccc(Cl)c(Cl)c3)nn2)CCC1
16559,Z2651427482,O[C@@H]1C[C@@H]2C[NH+](CC3CCCC3)Cc3cccnc3N2C1
16560,Z2651427482,O[C@H]1C[C@@H]2C[NH+](CC3CCCC3)Cc3cccnc3N2C1
16561,Z2651427482,O[C@@H]1C[C@H]2C[NH+](CC3CCCC3)Cc3cccnc3N2C1
16562,Z2651427482,O[C@H]1C[C@H]2C[NH+](CC3CCCC3)Cc3cccnc3N2C1
16563,Z2662697632,Cc1cc2nc(O)cc(C)c2cc1NC(=O)C1CC1
16564,Z2674895549,Cc1ccc(OCCCC(=O)N2CCCc3ccc(C(N)=O)nc32)cc1C
16565,Z2697268496,O=C(NCc1ccc(Cl)cc1)c1cn2c(n1)COCC2
16566,Z2740559607,CCc1cc(N2CC[C@](O)(C[NH+](C)C)C2)ncn1
16567,Z2740559607,CCc1cc(N2CC[C@@](O)(C[NH+](C)C)C2)ncn1
16568,Z2767430382,CNC(=O)C1(NC(=O)[C@@H]2Cc3ccccc3S2(=O)=O)CCCC1
16569,Z2767430382,CNC(=O)C1(NC(=O)[C@H]2Cc3ccccc3S2(=O)=O)CCCC1
16570,Z2772982035,O=C(NC1CCC(CO)CC1)c1ccc(-c2cn[nH]c2)cn1
16571,Z2787447074,CCn1cc(CNC(=O)CCCC2CCCCC2)c(=O)[nH]c1=O
16572,Z2859829269,Cc1sc(-c2ccc(C(F)(F)F)cc2)nc1C(=O)N1CC[C@H]([NH3+])C1
16573,Z2859829269,Cc1sc(-c2ccc(C(F)(F)F)cc2)nc1C(=O)N1CC[C@@H]([NH3+])C1
16574,Z2860179736,O=C(COCc1ccccn1)N[C@]12CCC[C@@H]1[NH2+]CC2
16575,Z2860179736,O=C(COCc1ccccn1)N[C@@]12CCC[C@@H]1[NH2+]CC2
16576,Z2860179736,O=C(COCc1ccccn1)N[C@]12CCC[C@H]1[NH2+]CC2
16577,Z2860179736,O=C(COCc1ccccn1)N[C@@]12CCC[C@H]1[NH2+]CC2
16578,Z2863938121,CN(Cc1nnc2n1C[C@H](C(F)(F)F)CC2)C(=O)[C@@H]1CC1(C)C
16579,Z2863938121,CN(Cc1nnc2n1C[C@@H](C(F)(F)F)CC2)C(=O)[C@@H]1CC1(C)C
16580,Z2863938121,CN(Cc1nnc2n1C[C@H](C(F)(F)F)CC2)C(=O)[C@H]1CC1(C)C
16581,Z2863938121,CN(Cc1nnc2n1C[C@@H](C(F)(F)F)CC2)C(=O)[C@H]1CC1(C)C
16582,Z2936901650,COc1cccn2ncc(C(=O)N3CCN(C4CC4)C(=O)C3)c12
16583,Z2945475277,CCS(=O)(=O)c1c[nH]c(=O)c(C(=O)N2CCCc3ccccc32)c1
16584,Z3686949804,Cn1c(N2CC[C@H](NC(=O)Cc3cn4ccccc4n3)C2)cc(=O)n(C)c1=O
16585,Z3686949804,Cn1c(N2CC[C@@H](NC(=O)Cc3cn4ccccc4n3)C2)cc(=O)n(C)c1=O
16586,Z3992151991,O=C(NC[C@H](CO)c1ccc(F)cc1)c1nsc2ccccc12
16587,Z3992151991,O=C(NC[C@@H](CO)c1ccc(F)cc1)c1nsc2ccccc12
16588,Z4327163622,C/C=C/c1cn([C@@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@@H]2C)nn1
16589,Z4327163622,C/C=C/c1cn([C@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@@H]2C)nn1
16590,Z4327163622,C/C=C/c1cn([C@@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@@H]2C)nn1
16591,Z4327163622,C/C=C/c1cn([C@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@@H]2C)nn1
16592,Z4327163622,C/C=C/c1cn([C@@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@H]2C)nn1
16593,Z4327163622,C/C=C/c1cn([C@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@H]2C)nn1
16594,Z4327163622,C/C=C/c1cn([C@@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@H]2C)nn1
16595,Z4327163622,C/C=C/c1cn([C@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@H]2C)nn1
16596,Z4327163622,C/C=C\c1cn([C@@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@@H]2C)nn1
16597,Z4327163622,C/C=C\c1cn([C@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@@H]2C)nn1
16598,Z4327163622,C/C=C\c1cn([C@@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@@H]2C)nn1
16599,Z4327163622,C/C=C\c1cn([C@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@@H]2C)nn1
16600,Z4327163622,C/C=C\c1cn([C@@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@H]2C)nn1
16601,Z4327163622,C/C=C\c1cn([C@H]2CN(C(=O)[C@H](C)c3ccccc3)C[C@H]2C)nn1
16602,Z4327163622,C/C=C\c1cn([C@@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@H]2C)nn1
