replicate,rank,top-100,top-50,R2_k-100,R2_k-50
2,59,0.23,0.2,-0.16016958390826042,-0.40479867577107576
2,60,0.22,0.22,0.031060837892830206,-0.1518974374115356
3,1,0.06,0.04,0.016130213584283903,0.056728190569803605
3,2,0.05,0.06,-0.15958574548997073,-0.0521762608080949
3,3,0.09,0.12,0.056558982857153106,0.10297904208057806
3,4,0.09,0.1,0.07271361385203723,0.056833939268549516
3,5,0.07,0.08,0.09924474953580675,-0.18774360863048445
3,6,0.08,0.04,0.0435465639796363,0.11666889245424972
3,7,0.08,0.06,0.09281957383537542,0.07691716617086275
3,8,0.11,0.04,0.00881519056259561,0.03166230976570428
3,9,0.1,0.08,-0.11719706007196118,-0.20261675752856023
3,10,0.08,0.06,-0.08454350052158133,0.019679592877897334
3,11,0.07,0.02,0.10036102115111178,0.19122573821581135
3,12,0.09,0.02,0.07201830479698512,0.13809355428875303
3,13,0.09,0.04,0.056429309729269295,0.09843155072776344
3,14,0.09,0.04,0.02558928378210157,0.07921996451496605
3,15,0.1,0.06,-0.0025624321758384028,0.06111581248974807
3,16,0.07,0.04,0.16196937360571062,0.055509283909295104
3,17,0.07,0.04,0.16027949344681147,0.20360604911686875
3,18,0.11,0.06,0.1525329231422612,0.24671099728022072
3,19,0.1,0.08,0.15433325520979946,0.09632068579637565
3,20,0.1,0.08,0.08588537627316428,0.1742258978213005
3,21,0.1,0.08,0.1507005000167524,0.13087445451749913
3,22,0.11,0.08,0.2030999696714958,-0.34751856320481367
3,23,0.11,0.08,0.057671171687606715,0.2809553291250281
3,24,0.1,0.08,0.0692310842940318,-0.0007795982742133667
3,25,0.09,0.08,0.17127256097558563,-0.03387662237508038
3,26,0.09,0.08,0.05912852871369456,-0.09380243893753493
3,27,0.09,0.08,0.15439342724711536,-0.15425158842374764
3,28,0.09,0.08,0.20345363473218447,-0.2741983433354527
3,29,0.11,0.08,-0.06799658689673316,-0.02972233710529526
3,30,0.12,0.1,0.06367004813011434,-0.008582869175263186
3,31,0.15,0.14,0.1574060287449075,-0.183392989116133
3,32,0.15,0.14,0.10578082599684624,0.015121314065936198
